time	TRIlong	TRIlat	TRImed	BIClong	BICshort	BRA	r_shoulder_elev_reserve	r_elbow_flex_reserve
      0.12098784	      0.02000000	      0.02200000	      0.02200000	      0.07308579	      0.04628747	      0.02653943	      0.01873180	     -0.00042093
      0.12197568	      0.02000000	      0.02200000	      0.02200000	      0.07308579	      0.04628747	      0.02653943	      0.01873636	     -0.00034174
      0.12396117	      0.02000000	      0.02200000	      0.02200000	      0.07308579	      0.04628747	      0.02653943	      0.01874552	     -0.00018258
      0.12750928	      0.02000000	      0.02200000	      0.02200000	      0.07308579	      0.04628747	      0.02653943	      0.01876188	      0.00010185
      0.13000000	      0.02000000	      0.02200000	      0.02200000	      0.07308579	      0.04628747	      0.02653943	      0.01877337	      0.00030152
      0.13264289	      0.02000000	      0.02200000	      0.02200000	      0.07706382	      0.03799036	      0.02200000	      0.01876489	      0.00004063
      0.13528577	      0.02000000	      0.02200000	      0.02200000	      0.07706382	      0.03799036	      0.02200000	      0.01875641	     -0.00022026
      0.14000000	      0.02000000	      0.02200000	      0.02200000	      0.07706382	      0.03799036	      0.02200000	      0.01874128	     -0.00068562
      0.14104698	      0.02000000	      0.02000000	      0.02000000	      0.08072954	      0.04156539	      0.02400000	      0.01886828	     -0.00069225
      0.14209397	      0.02000000	      0.02000000	      0.02000000	      0.08072954	      0.04156539	      0.02400000	      0.01899528	     -0.00069888
      0.14648952	      0.02000000	      0.02000000	      0.02000000	      0.08072954	      0.04156539	      0.02400000	      0.01952846	     -0.00072672
      0.15000000	      0.02000000	      0.02000000	      0.02000000	      0.08072954	      0.04156539	      0.02400000	      0.01995428	     -0.00074895
      0.15163225	      0.02000000	      0.02200000	      0.02200000	      0.08234155	      0.03495205	      0.02200000	      0.01975810	     -0.00072303
      0.15326449	      0.02000000	      0.02200000	      0.02200000	      0.08234155	      0.03495205	      0.02200000	      0.01956192	     -0.00069710
      0.16000000	      0.02000000	      0.02200000	      0.02200000	      0.08234155	      0.03495205	      0.02200000	      0.01875239	     -0.00059013
      0.16077438	      0.02000000	      0.02400000	      0.02400000	      0.08396965	      0.04626101	      0.02600000	      0.01883934	     -0.00063482
      0.16154875	      0.02000000	      0.02400000	      0.02400000	      0.08396965	      0.04626101	      0.02600000	      0.01892630	     -0.00067952
      0.16542063	      0.02000000	      0.02400000	      0.02400000	      0.08396965	      0.04626101	      0.02600000	      0.01936107	     -0.00090298
      0.16929251	      0.02000000	      0.02400000	      0.02400000	      0.08396965	      0.04626101	      0.02600000	      0.01979584	     -0.00112645
      0.17000000	      0.02000000	      0.02400000	      0.02400000	      0.08396965	      0.04626101	      0.02600000	      0.01987528	     -0.00116729
      0.17037297	      0.02000000	      0.02444552	      0.02400000	      0.09185651	      0.04731771	      0.02600000	      0.01988761	     -0.00113601
      0.17074594	      0.02000000	      0.02444552	      0.02400000	      0.09185651	      0.04731771	      0.02600000	      0.01989994	     -0.00110474
      0.17261080	      0.02000000	      0.02444552	      0.02400000	      0.09185651	      0.04731771	      0.02600000	      0.01996159	     -0.00094838
      0.17911290	      0.02000000	      0.02444552	      0.02400000	      0.09185651	      0.04731771	      0.02600000	      0.02017653	     -0.00040321
      0.18000000	      0.02000000	      0.02444552	      0.02400000	      0.09185651	      0.04731771	      0.02600000	      0.02020585	     -0.00032883
      0.18049195	      0.02000000	      0.02472986	      0.02490140	      0.09738402	      0.04864484	      0.02400000	      0.02015674	     -0.00033427
      0.18098390	      0.02000000	      0.02472986	      0.02490140	      0.09738402	      0.04864484	      0.02400000	      0.02010762	     -0.00033971
      0.18344365	      0.02000000	      0.02472986	      0.02490140	      0.09738402	      0.04864484	      0.02400000	      0.01986205	     -0.00036691
      0.18699583	      0.02000000	      0.02472986	      0.02490140	      0.09738402	      0.04864484	      0.02400000	      0.01950742	     -0.00040619
      0.19000000	      0.02000000	      0.02472986	      0.02490140	      0.09738402	      0.04864484	      0.02400000	      0.01920750	     -0.00043941
      0.19036054	      0.02000000	      0.02492054	      0.02537516	      0.10524463	      0.05162616	      0.02600000	      0.01926803	     -0.00046946
      0.19072107	      0.02000000	      0.02492054	      0.02537516	      0.10524463	      0.05162616	      0.02600000	      0.01932857	     -0.00049951
      0.19252376	      0.02000000	      0.02492054	      0.02537516	      0.10524463	      0.05162616	      0.02600000	      0.01963124	     -0.00064978
      0.19739757	      0.02000000	      0.02492054	      0.02537516	      0.10524463	      0.05162616	      0.02600000	      0.02044955	     -0.00105605
      0.20000000	      0.02000000	      0.02492054	      0.02537516	      0.10524463	      0.05162616	      0.02600000	      0.02088650	     -0.00127299
      0.20034243	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02090969	     -0.00124243
      0.20068486	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02093288	     -0.00121187
      0.20239699	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02104881	     -0.00105907
      0.20530999	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02124606	     -0.00079911
      0.20822299	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02144330	     -0.00053915
      0.21000000	      0.02000000	      0.02710458	      0.02640193	      0.11365878	      0.05284375	      0.02400000	      0.02156363	     -0.00038056
      0.21032585	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02160204	     -0.00046040
      0.21065169	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02164045	     -0.00054024
      0.21142948	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02173213	     -0.00073081
      0.21531843	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02219055	     -0.00168368
      0.21920738	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02264898	     -0.00263654
      0.22000000	      0.02000000	      0.02600000	      0.02661050	      0.12249615	      0.05573922	      0.02400000	      0.02274241	     -0.00283075
      0.22033629	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02273670	     -0.00282144
      0.22067257	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02273099	     -0.00281214
      0.22235401	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02270245	     -0.00276561
      0.22538937	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02265092	     -0.00268163
      0.22842473	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02259940	     -0.00259765
      0.23000000	      0.02000000	      0.02693007	      0.02836549	      0.13194293	      0.05579391	      0.02200000	      0.02257266	     -0.00255406
      0.23037751	      0.02000000	      0.02729560	      0.02767941	      0.13970186	      0.05948668	      0.02200000	      0.02270138	     -0.00254816
      0.23075501	      0.02000000	      0.02729560	      0.02767941	      0.13970186	      0.05948668	      0.02200000	      0.02283010	     -0.00254225
      0.23264254	      0.02000000	      0.02729560	      0.02767941	      0.13970186	      0.05948668	      0.02200000	      0.02347369	     -0.00251274
      0.23702277	      0.02000000	      0.02729560	      0.02767941	      0.13970186	      0.05948668	      0.02200000	      0.02496723	     -0.00244424
      0.24000000	      0.02000000	      0.02729560	      0.02767941	      0.13970186	      0.05948668	      0.02200000	      0.02598238	     -0.00239768
      0.24029598	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02594169	     -0.00238404
      0.24059196	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02590099	     -0.00237039
      0.24207186	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02569753	     -0.00230218
      0.24466654	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02534081	     -0.00218258
      0.24726122	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02498408	     -0.00206298
      0.25000000	      0.02000000	      0.02848525	      0.03022613	      0.15053093	      0.06118473	      0.02200000	      0.02460754	     -0.00193673
      0.25039871	      0.02000000	      0.03062627	      0.02938477	      0.15837182	      0.06068782	      0.02200000	      0.02463168	     -0.00193911
      0.25079742	      0.02000000	      0.03062627	      0.02938477	      0.15837182	      0.06068782	      0.02200000	      0.02465581	     -0.00194149
      0.25279099	      0.02000000	      0.03062627	      0.02938477	      0.15837182	      0.06068782	      0.02200000	      0.02477649	     -0.00195340
      0.25604848	      0.02000000	      0.03062627	      0.02938477	      0.15837182	      0.06068782	      0.02200000	      0.02497368	     -0.00197284
      0.26000000	      0.02000000	      0.03062627	      0.02938477	      0.15837182	      0.06068782	      0.02200000	      0.02521289	     -0.00199643
      0.26034619	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02522988	     -0.00199637
      0.26069238	      0.02000000	      0.03115367	      0.03174909	      0.16697139	      0.06411263	      0.02200000	      0.02524687	     -0.00199630
