umbergerTotal_m0; umbergerTotal_m1; umbergerTotal_m2; umbergerTotal_m3; umbergerTotal_m4; umbergerTotal_m5 
0.00485105541321; 0.00454838345329; 0.00454845651753; 0.00450655876694; 0.00445532467523; 0.00463897236336
0.00485087363239; 0.00454838138407; 0.00454845475849; 0.00450661313393; 0.00445530184338; 0.00463897165076
0.00485069121748; 0.00454837932592; 0.00454845300928; 0.00450666762245; 0.00445527914953; 0.00463897094241
0.00485050817035; 0.00454837727919; 0.00454845127018; 0.00450672223131; 0.00445525659365; 0.00463897023843
0.00485032449284; 0.0045483752442; 0.00454844954144; 0.00450677695931; 0.00445523417572; 0.00463896953891
0.00485014018677; 0.00454837322126; 0.00454844782331; 0.00450683180527; 0.00445521189573; 0.00463896884395
0.00484995525391; 0.00454837121064; 0.00454844611601; 0.00450688676805; 0.00445518975366; 0.00463896815366
0.00484976969603; 0.0045483692126; 0.00454844441974; 0.00450694184649; 0.00445516774953; 0.0046389674681
0.00484958351485; 0.00454836722739; 0.00454844273469; 0.00450699703946; 0.00445514588334; 0.00463896678737
0.0048493967121; 0.00454836525522; 0.00454844106103; 0.00450705234583; 0.00445512415511; 0.00463896611152
0.00484920928945; 0.00454836329631; 0.00454843939893; 0.00450710776449; 0.00445510256485; 0.00463896544063
0.00484902124857; 0.00454836135084; 0.00454843774851; 0.00450716329435; 0.0044550811126; 0.00463896477475
0.00484883259109; 0.00454835941898; 0.00454843610992; 0.00450721893431; 0.00445505979838; 0.00463896411393
0.00484864331863; 0.00454835750088; 0.00454843448327; 0.0045072746833; 0.00445503862223; 0.00463896345823
0.0048484534328; 0.00454835559667; 0.00454843286865; 0.00450733054024; 0.00445501758419; 0.00463896280768
0.00484826293517; 0.00454835370648; 0.00454843126615; 0.00450738650408; 0.00445499668431; 0.00463896216231
0.0048480718273; 0.0045483518304; 0.00454842967585; 0.00450744257377; 0.00445497592263; 0.00463896152216
0.00484788011074; 0.00454834996853; 0.0045484280978; 0.00450749874828; 0.0044549552992; 0.00463896088726
0.004847687787; 0.00454834812094; 0.00454842653206; 0.00450755502657; 0.00445493481408; 0.00463896025761
0.00484749485761; 0.00454834628769; 0.00454842497865; 0.00450761140761; 0.00445491446732; 0.00463895963323
0.00484730132404; 0.00454834446882; 0.00454842343762; 0.0045076678904; 0.00445489425899; 0.00463895901414
0.00484710718779; 0.00454834266437; 0.00454842190896; 0.00450772447394; 0.00445487418914; 0.00463895840034
0.00484691245032; 0.00454834087435; 0.00454842039269; 0.00450778115721; 0.00445485425784; 0.00463895779183
0.00484671711308; 0.00454833909877; 0.0045484188888; 0.00450783793924; 0.00445483446514; 0.00463895718861
0.00484652117752; 0.00454833733764; 0.00454841739728; 0.00450789481904; 0.00445481481111; 0.00463895659066
0.00484632464508; 0.00454833559092; 0.0045484159181; 0.00450795179562; 0.00445479529581; 0.00463895599799
0.00484612751716; 0.00454833385861; 0.00454841445122; 0.00450800886803; 0.0044547759193; 0.00463895541057
0.00484592979519; 0.00454833214065; 0.00454841299661; 0.00450806603528; 0.00445475668164; 0.00463895482838
0.00484573148057; 0.00454833043701; 0.00454841155421; 0.00450812329643; 0.0044547375829; 0.00463895425141
0.00484553257471; 0.00454832874763; 0.00454841012398; 0.00450818065052; 0.00445471862312; 0.00463895367963
0.00484533307899; 0.00454832707245; 0.00454840870584; 0.0045082380966; 0.00445469980238; 0.00463895311301
0.00484513299481; 0.00454832541139; 0.00454840729973; 0.00450829563371; 0.00445468112071; 0.00463895255152
0.00484493232354; 0.00454832376437; 0.00454840590557; 0.00450835326093; 0.00445466257818; 0.00463895199514
0.00484473106658; 0.00454832213131; 0.00454840452327; 0.00450841097731; 0.00445464417483; 0.00463895144382
0.00484452922529; 0.00454832051212; 0.00454840315276; 0.00450846878192; 0.00445462591071; 0.00463895089753
0.00484432680105; 0.00454831890669; 0.00454840179393; 0.00450852667382; 0.00445460778584; 0.00463895035623
0.00484412379523; 0.00454831731491; 0.00454840044669; 0.0045085846521; 0.00445458980029; 0.00463894981987
0.00484392020923; 0.00454831573668; 0.00454839911094; 0.00450864271582; 0.00445457195407; 0.00463894928843
0.0048437160444; 0.00454831417189; 0.00454839778658; 0.00450870086406; 0.00445455424721; 0.00463894876184
0.00484351130213; 0.0045483126204; 0.00454839647349; 0.0045087590959; 0.00445453667973; 0.00463894824007
0.00484330598379; 0.0045483110821; 0.00454839517157; 0.00450881741042; 0.00445451925165; 0.00463894772306
0.00484310009078; 0.00454830955685; 0.00454839388069; 0.0045088758067; 0.00445450196299; 0.00463894721078
0.00484289362448; 0.00454830804454; 0.00454839260075; 0.00450893428384; 0.00445448481375; 0.00463894670316
0.00484268658627; 0.00454830654501; 0.00454839133163; 0.0045089928409; 0.00445446780391; 0.00463894620017
0.00484247897757; 0.00454830505814; 0.0045483900732; 0.00450905147699; 0.00445445093349; 0.00463894570175
0.00484227079977; 0.00454830358379; 0.00454838882535; 0.00450911019118; 0.00445443420245; 0.00463894520785
0.00484206205429; 0.00454830212183; 0.00454838758795; 0.00450916898256; 0.00445441761079; 0.00463894471841
0.00484185274254; 0.00454830067209; 0.00454838636088; 0.00450922785022; 0.00445440115846; 0.00463894423339
0.00484164286595; 0.00454829923446; 0.00454838514402; 0.00450928679324; 0.00445438484542; 0.00463894375273
0.00484143242596; 0.00454829780879; 0.00454838393724; 0.00450934581072; 0.00445436867164; 0.00463894327639
0.00484122142402; 0.00454829639493; 0.00454838274043; 0.00450940490174; 0.00445435263706; 0.00463894280431
