simTimestamp; umbergerTotal_m0; umbergerTotal_m1; umbergerTotal_m2; umbergerTotal_m3; umbergerTotal_m4; umbergerTotal_m5 
26.723; 0.00407878799999; 0.00459645623018; 0.00459446454032; 0.00471521261555; 0.00460365473276; 0.00457606262751
26.724; 0.004078788; 0.00459651813286; 0.004594528925; 0.00471534827089; 0.00460350439506; 0.0045759350214
26.725; 0.004078788; 0.00459659532151; 0.00459460791358; 0.00471547538945; 0.00460333643969; 0.0045757811059
26.726; 0.00407878799999; 0.00459668767633; 0.00459470138703; 0.00471559409236; 0.00460314994214; 0.00457560104025
26.727; 0.004078788; 0.00459679507244; 0.0045948092215; 0.00471570449197; 0.00460294394696; 0.00457539498235
26.728; 0.004078788; 0.00459691737977; 0.00459493128827; 0.00471580669192; 0.00460271746659; 0.00457516308892
26.729; 0.00407878799999; 0.00459705446338; 0.004595067454; 0.00471590078759; 0.00460246948034; 0.00457490551599
26.73; 0.004078788; 0.00459720618353; 0.00459521758083; 0.00471598686637; 0.00460219893326; 0.00457462241927
26.731; 0.004078788; 0.0045973723956; 0.0045953815263; 0.00471606500773; 0.00460190473478; 0.00457431395431
26.732; 0.00407878799999; 0.00459755295043; 0.00459555914367; 0.00471613528359; 0.00460158575763; 0.00457398027698
26.733; 0.004078788; 0.00459774769432; 0.00459575028192; 0.00471619775859; 0.0046012408365; 0.00457362154383
26.734; 0.004078788; 0.00459795646904; 0.00459595478578; 0.00471625249008; 0.00460086876657; 0.00457323791232
26.735; 0.00407878799999; 0.00459817911206; 0.00459617249592; 0.00471629952855; 0.00460046830222; 0.0045728295412
26.736; 0.004078788; 0.00459841545664; 0.00459640324905; 0.00471633891774; 0.0046000381556; 0.00457239659098
26.737; 0.004078788; 0.00459866533177; 0.00459664687789; 0.00471637069476; 0.00459957699496; 0.004571939224
26.738; 0.00407878799999; 0.00459892856242; 0.00459690321136; 0.00471639489034; 0.00459908344317; 0.004571457605
26.739; 0.004078788; 0.00459920496962; 0.00459717207469; 0.00471641152907; 0.00459855607613; 0.0045709519014
26.74; 0.00407878799999; 0.00459949437037; 0.00459745328933; 0.00471642062934; 0.00459799342088; 0.00457042228349
26.741; 0.004078788; 0.004599796578; 0.00459774667329; 0.00471642220379; 0.00459739395407; 0.00456986892498
26.742; 0.004078788; 0.00460011140196; 0.00459805204091; 0.00471641625923; 0.00459675609984; 0.0045692920031
26.743; 0.00407878799999; 0.00460043864808; 0.00459836920318; 0.0047164027969; 0.00459607822811; 0.00456869169909
26.744; 0.004078788; 0.00460077811863; 0.00459869796775; 0.00471638181266; 0.00459535865254; 0.00456806819849
26.745; 0.004078788; 0.00460112961227; 0.00459903813883; 0.00471635329698; 0.00459459562834; 0.00456742169133
26.746; 0.00407878799999; 0.00460149292421; 0.00459938951748; 0.00471631723525; 0.00459378735023; 0.00456675237261
26.747; 0.004078788; 0.00460186784634; 0.00459975190157; 0.00471627360787; 0.00459293195024; 0.00456606044257
26.748; 0.004078788; 0.00460225416705; 0.00460012508576; 0.00471622239029; 0.00459202749517; 0.0045653461069
26.749; 0.00407878799999; 0.00460265167151; 0.00460050886165; 0.00471616355327; 0.00459107198437; 0.0045646095772
26.75; 0.004078788; 0.00460306014169; 0.00460090301785; 0.00471609706304; 0.00459006334721; 0.00456385107126
26.751; 0.004078788; 0.00460347935623; 0.00460130733986; 0.00471602288126; 0.00458899944029; 0.00456307081326
26.752; 0.00407878799999; 0.00460390909067; 0.00460172161027; 0.00471594096533; 0.00458787804489; 0.00456226903422
26.753; 0.004078788; 0.00460434911747; 0.0046021456088; 0.00471585126852; 0.00458669686416; 0.00456144597233
26.754; 0.004078788; 0.00460479920589; 0.00460257911215; 0.00471575373997; 0.00458545352; 0.00456060187313
26.755; 0.00407878799999; 0.00460525912218; 0.00460302189421; 0.00471564832499; 0.00458414555021; 0.00455973698996
26.756; 0.004078788; 0.00460572862961; 0.00460347372606; 0.00471553496518; 0.00458277040528; 0.0045588515843
26.757; 0.004078788; 0.00460620748832; 0.0046039343759; 0.00471541359843; 0.00458132544497; 0.0045579459259
26.758; 0.00407878799999; 0.00460669545555; 0.00460440360914; 0.00471528415927; 0.00457980793507; 0.00455702029328
26.759; 0.004078788; 0.00460719228563; 0.00460488118854; 0.00471514657894; 0.00457821504379; 0.00455607497379
26.76; 0.004078788; 0.00460769773; 0.00460536687412; 0.00471500078543; 0.00457654383794; 0.00455511026341
26.761; 0.00407878799999; 0.00460821153754; 0.00460586042356; 0.00471484670365; 0.00457479127909; 0.00455412646597
26.762; 0.004078788; 0.00460873345522; 0.00460636159289; 0.0047146842554; 0.0045729542193; 0.00455312389012
26.763; 0.004078788; 0.00460926322963; 0.00460687013814; 0.00471451335858; 0.00457102939586; 0.00455210284005
26.764; 0.00407878799999; 0.0046098006119; 0.00460738582058; 0.00471433392551; 0.00456901342432; 0.00455106358912
26.765; 0.00409022034835; 0.00461034537217; 0.00460790842219; 0.00471414585671; 0.00456690278521; 0.00455000629891
26.766; 0.00435292119505; 0.0046108973485; 0.00460843779789; 0.00471394901903; 0.00456469378877; 0.00454893074822
26.767; 0.0043883968546; 0.0046114537217; 0.00460897097346; 0.00471374445432; 0.00456238420431; 0.00454785039199
26.768; 0.00434852129826; 0.00461201055625; 0.00460950388711; 0.00471353380288; 0.0045599726072; 0.00454677895346
26.769; 0.00439347306734; 0.00461257067869; 0.00461003975078; 0.00471331578545; 0.00455745353411; 0.00454569231908
26.77; 0.00433809536535; 0.00461313261501; 0.00461057700087; 0.00471309089231; 0.00455482381281; 0.00454460323506
