simTimestamp; umbergerTotal_m0; umbergerTotal_m1; umbergerTotal_m2; umbergerTotal_m3; umbergerTotal_m4; umbergerTotal_m5 
1.618; 0.00487318866641; 0.00454873988193; 0.00454876336684; 0.00449960473456; 0.0044637212567; 0.00463909963406
1.619; 0.00487319477192; 0.00454873930302; 0.00454876262858; 0.00449959962466; 0.00446368775467; 0.00463909933893
1.62; 0.00487319957718; 0.00454873843492; 0.00454876164426; 0.00449959505321; 0.00446365436921; 0.00463909893865
1.621; 0.00487320309285; 0.00454873728161; 0.00454876041767; 0.00449959101518; 0.00446362109742; 0.00463909843488
1.622; 0.00487320533025; 0.00454873584747; 0.00454875895299; 0.00449958750524; 0.00446358793604; 0.00463909782943
1.623; 0.00487320630133; 0.00454873413736; 0.00454875725474; 0.00449958451775; 0.00446355488148; 0.00463909712427
1.624; 0.00487320601864; 0.0045487321565; 0.0045487553278; 0.00449958204678; 0.00446352192981; 0.00463909632151
1.625; 0.00487320449533; 0.00454872991054; 0.00454875317736; 0.00449958008612; 0.0044634890768; 0.00463909542342
1.626; 0.00487320174508; 0.00454872740551; 0.00454875080896; 0.00449957862932; 0.00446345631794; 0.00463909443239
1.627; 0.0048731977821; 0.0045487246478; 0.0045487482284; 0.00449957766967; 0.00446342364841; 0.00463909335096
1.628; 0.00487319262104; 0.00454872164417; 0.00454874544181; 0.00449957720025; 0.00446339106314; 0.00463909218178
1.629; 0.00487318627706; 0.00454871840168; 0.00454874245558; 0.00449957721391; 0.00446335855681; 0.00463909092761
1.63; 0.00487317876569; 0.00454871492777; 0.00454873927636; 0.00449957770331; 0.00446332612386; 0.00463908959135
1.631; 0.00487317010286; 0.00454871123013; 0.00454873591105; 0.00449957866093; 0.00446329375853; 0.00463908817599
1.632; 0.00487316030484; 0.00454870731677; 0.00454873236679; 0.0044995800791; 0.00446326145485; 0.00463908668461
1.633; 0.00487314938823; 0.00454870319595; 0.00454872865093; 0.00449958194998; 0.00446322920667; 0.00463908512038
1.634; 0.0048731373699; 0.00454869887619; 0.00454872477102; 0.00449958426561; 0.00446319700768; 0.00463908348657
1.635; 0.00487312426696; 0.00454869436625; 0.00454872073479; 0.00449958701792; 0.0044631648514; 0.00463908178652
1.636; 0.00487311009674; 0.00454868967508; 0.00454871655014; 0.00449959019874; 0.00446313273126; 0.00463908002362
1.637; 0.00487309487673; 0.00454868481185; 0.00454871222514; 0.0044995937998; 0.00446310064054; 0.00463907820135
1.638; 0.00487307862459; 0.0045486797859; 0.00454870776796; 0.00449959781278; 0.00446306857244; 0.00463907632322
1.639; 0.00487306135806; 0.00454867460672; 0.00454870318692; 0.00449960222932; 0.00446303652008; 0.0046390743928
1.64; 0.00487304309496; 0.00454866928393; 0.00454869849043; 0.004499607041; 0.00446300447652; 0.0046390724137
1.641; 0.00487302385316; 0.00454866382728; 0.00454869368698; 0.0044996122394; 0.00446297243478; 0.00463907038954
1.642; 0.00487300365052; 0.00454865824663; 0.00454868878513; 0.0044996178161; 0.00446294038783; 0.00463906832399
1.643; 0.0048729825049; 0.00454865255188; 0.0045486837935; 0.00449962376268; 0.00446290832866; 0.00463906622073
1.644; 0.00487296043408; 0.00454864675303; 0.00454867872072; 0.00449963007075; 0.00446287625025; 0.00463906408344
1.645; 0.00487293745574; 0.00454864086008; 0.00454867357545; 0.00449963673196; 0.0044628441456; 0.00463906191581
1.646; 0.00487291358747; 0.00454863488309; 0.00454866836637; 0.00449964373804; 0.00446281200775; 0.00463905972152
1.647; 0.00487288884668; 0.00454862883209; 0.00454866310212; 0.00449965108076; 0.00446277982979; 0.00463905750424
1.648; 0.00487286325062; 0.00454862271711; 0.0045486577913; 0.00449965875199; 0.0044627476049; 0.00463905526764
1.649; 0.00487283681631; 0.00454861654811; 0.00454865244248; 0.00449966674369; 0.00446271532631; 0.00463905301532
1.65; 0.00487280956055; 0.00454861033504; 0.00454864706417; 0.00449967504794; 0.00446268298736; 0.00463905075089
1.651; 0.00487278149988; 0.00454860408774; 0.00454864166478; 0.00449968365693; 0.00446265058152; 0.00463904847791
1.652; 0.00487275265053; 0.00454859781598; 0.00454863625265; 0.00449969256299; 0.00446261810237; 0.00463904619989
1.653; 0.00487272302843; 0.0045485915294; 0.00454863083597; 0.0044997017586; 0.00446258554361; 0.00463904392028
1.654; 0.00487269264917; 0.00454858523752; 0.00454862542286; 0.00449971123639; 0.00446255289911; 0.0046390416425
1.655; 0.00487266152798; 0.00454857894974; 0.00454862002126; 0.00449972098916; 0.00446252016292; 0.00463903936989
1.656; 0.00487262967971; 0.00454857267528; 0.00454861463899; 0.00449973100987; 0.00446248732921; 0.00463903710572
1.657; 0.00487259711881; 0.00454856642317; 0.00454860928369; 0.00449974129168; 0.00446245439239; 0.0046390348532
1.658; 0.00487256385931; 0.00454856020229; 0.00454860396282; 0.00449975182794; 0.00446242134702; 0.00463903261546
1.659; 0.0048725299148; 0.00454855402129; 0.00454859868367; 0.0044997626122; 0.00446238818789; 0.00463903039555
1.66; 0.00487249529842; 0.00454854788861; 0.00454859345332; 0.00449977363822; 0.00446235490998; 0.00463902819642
1.661; 0.00487246002284; 0.00454854181247; 0.00454858827866; 0.00449978489996; 0.00446232150852; 0.00463902602094
1.662; 0.00487242410025; 0.00454853580084; 0.00454858316634; 0.00449979639162; 0.00446228797893; 0.0046390238719
1.663; 0.00487238754235; 0.00454852986145; 0.0045485781228; 0.0044998081076; 0.00446225431689; 0.00463902175197
1.664; 0.00487235036034; 0.00454852400175; 0.00454857315423; 0.00449982004256; 0.00446222051831; 0.00463901966373
